EmployerName,Address,CompanyNumber,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,CompanyLinkToGPGInfo,ResponsiblePerson,EmployerSize,CurrentName,SubmittedAfterTheDeadline
CARE LINE HOMECARE LIMITED,"101-103 Baker Street,
3rd Floor Caparo House,
London,
England,
W1U 6EF",3571286,"87300,
88990",-1.9,-0.8,NA,NA,0,0,11,89,10,90,8,92,7,93,,Max Wurr (Director of Policy and Communications),500 to 999,CARE LINE HOMECARE LIMITED,FALSE
Care Quality Commission,"151 Buckingham Palace Road,
London,
London,
United Kingdom,
SW1W 9SZ",,"1,
84110",0.9,0,0,0,0,0,35.4,64.6,27,73,26,74,32.6,67.4,https://www.cqc.org.uk/about-us/transparency/salaries-structure-staff#genderpay,,1000 to 4999,Care Quality Commission,FALSE
CAREER LEGAL LIMITED,"4th Floor Camomile Court,
23 Camomile Street,
London,
EC3A 7LL",2477115,78200,5,-4,11,13,9,8,26,74,34,66,27,73,33,67,https://www.careerlegal.co.uk/gender-pay-reporting/,Michelle McDermott (Director of HR and Business Services),250 to 499,CAREER LEGAL LIMITED,FALSE
CARLTON TOWER LIMITED(THE),"Floor 8, 71 Queen Victoria Street,
London,
England,
EC4V 4AY",1575177,55100,19.6,6.8,32.6,0,88.5,90.7,50.6,49.4,59.1,40.9,62.5,37.5,59.1,40.9,https://www.jumeirah.com/en/hotels-resorts/london/jumeirah-carlton-tower/facilities-and-services/corporate-social-responsibility/,Ian Richardson (Interim General Manager),250 to 499,CARLTON TOWER LIMITED(THE),FALSE
CARLUCCIO'S LIMITED,"35 Rose Street,
Covent Garden,
London,
United Kingdom,
WC2E 9EB",2001576,"46380,
47290,
56101",-5,11,-54.6,0,14.9,15.3,40.9,59.1,56.9,43.1,59.3,40.7,60.1,39.9,http://www.carluccios.com,Stephen Jarrett (HR & Payroll Manager),1000 to 4999,CARLUCCIO'S LIMITED,FALSE
CARTER JONAS SERVICE COMPANY,"One,
Chapel Place,
London,
United Kingdom,
W1G 0BG",786457,"68310,
68320",29.3,35.4,27.9,50,57.6,53.4,24.8,75.2,32.7,67.3,53.1,46.9,69.1,30.9,https://documentcloud.adobe.com/link/track?uri=urn%3Aaaid%3Ascds%3AUS%3Ac4f31a1b-a66e-4e8d-b907-3bdc373b9d82,Claire Matthews (Head of HR),500 to 999,CARTER JONAS SERVICE COMPANY,FALSE
CASKADE CATERERS LIMITED,"144 Seven Sisters Road,
London,
England,
N7 7NS",1856120,56101,-4,-1,-1,8,6,4,44,56,56,44,52,48,52,48,,PLAMENA VASILEVA (PAYROLL ADMINISTRATOR),1000 to 4999,CASKADE CATERERS LIMITED,FALSE
CASNA LIMITED,"7c Bayham Street,
London,
United Kingdom,
NW1 0EY",1130951,"81210,
81222",6,-3,-58,0,8,26,70,30,75,25,53,47,63,37,http://www.casnagroup.co.uk/about-casna,Nicholas Appell (Managing Director),500 to 999,CASNA LIMITED,FALSE
CASPIAN FOOD RETAILERS LIMITED,"5 New Street Square,
London,
United Kingdom,
EC4A 3TW",7523162,"56102,
56103",-1.4,-5.6,-12.4,10.7,13.8,16.9,52.8,47.2,62.1,37.9,54.4,45.6,52.3,47.7,,Alasdair Murdoch (Chief Executive Officer),500 to 999,CASPIAN FOOD RETAILERS LIMITED,FALSE
CASPIAN FOOD SERVICES LIMITED,"5 New Street Square,
London,
United Kingdom,
EC4A 3TW",1450855,"56102,
56103",3.6,4.2,-43.3,26.5,17.3,10.4,50.5,49.5,57.9,42.1,53,47,60.9,39.1,,Alasdair Murdoch (Chief Executive Officer),1000 to 4999,CASPIAN FOOD SERVICES LIMITED,FALSE
CASUAL DINING SERVICES LIMITED,"1st Floor 163 Eversholt Street,
London,
NW1 1BU",6022528,56101,7.6,3.8,57.1,1,19,15.5,43,57,52,48,67,33,62,38,,Stephen Richards (CEO),"5000 to 19,999",CASUAL DINING SERVICES LIMITED,FALSE
CATALYST HOUSING LIMITED,"Ealing Gateway,
26-30 Uxbridge Road,
London,
United Kingdom,
W5 2AU",IP16561R,,4.8,2,1.2,0,78.6,86.1,67.3,32.7,28,72,46,54,57.6,42.4,,Judith Foss (Executive Director of People and Culture),500 to 999,CATALYST HOUSING LIMITED,FALSE
CATCH 22 CHARITY LIMITED,"27 Pear Tree Street,
London,
United Kingdom,
EC1V 3AG",6577534,88990,9.1,8,20,0,1,1,25.4,74.6,28.4,71.6,33.9,66.1,39.7,60.3,https://www.catch-22.org.uk/gender-pay-gap-reporting/,Christina Duru (Director of People),500 to 999,CATCH 22 CHARITY LIMITED,FALSE
CATERING UK LIMITED,"25 Northumberland Avenue,
London,
United Kingdom,
WC2N 5AP",3266861,56102,-3,-2.1,0,0,0,0,55.4,44.6,60,40,39.5,60.5,46.5,53.5,https://thaisq.com/,H E Danous (Director),250 to 499,CATERING UK LIMITED,FALSE
CATH KIDSTON LIMITED,"2nd Floor Frestonia,
125-135 Freston Road,
London,
United Kingdom,
W10 6TH",2808583,47789,36,27,8,0,45,20,3,97,2,98,4,96,14,86,https://cathkidston.btxmedia.com/pws/client/downloads/2018/Cath-Kidston-Gender-Pay-Gap-report.pdf,Melinda Paraie (CEO),1000 to 4999,CATH KIDSTON LIMITED,FALSE
CATHAY PACIFIC AIRWAYS LIMITED,"4th Floor Waterfront Building Manbre Road,
London,
Hammersmith Embankment,
W6 9RU",BR001755,,42.1,37.4,NA,NA,0,0,28.8,71.2,40.2,59.8,41.7,58.3,88.6,11.4,https://www.cathaypacific.com/dam/cx/legal-and-privacy/united-kingdom/cx-uk-gender-pay-gap-report-2018.pdf,Scott McEwan (People Manager - UK),500 to 999,CATHAY PACIFIC AIRWAYS LIMITED,FALSE
Catholic Agency For Overseas Development,"Romero House,
55 Westminster Bridge Road,
London,
United Kingdom,
SE1 7JB",9387398,88990,9.1,5.2,0,0,0,0,27,73,27,73,44,56,48,52,https://cafod.org.uk/content/download/44495/517913/version/3/file/CAFOD%202018%20Gender%20Pay%20Report.pdf,Chris Bain (Director),250 to 499,Catholic Agency For Overseas Development,FALSE
Catsteps Cafes Ltd,"1 Wardour Mews,
London,
England,
W1F 8AH",8231148,56101,-5.3,-13.5,NA,NA,0,0,66.3,33.7,61.4,38.6,38.6,61.4,43.4,56.6,https://thebreakfastclubcafes.com/terms/,George Whittaker (Finance Director),250 to 499,Catsteps Cafes Ltd,FALSE
CAVENDISH NUCLEAR LIMITED,"33 Wigmore Street,
London,
United Kingdom,
W1U 1QX",3975999,82990,15.7,21.3,1.6,22.6,65.5,86.3,64.5,35.5,82.6,17.4,85.3,14.7,90.1,9.9,https://www.babcockinternational.com/Who-We-Are/Sustainability/People-and-Potential,Kevin Goodman (Group Director of Organisation & Development),1000 to 4999,CAVENDISH NUCLEAR LIMITED,FALSE
CB&I UK LIMITED,"40 Eastbourne Terrace,
London,
United Kingdom,
W2 6LG",4438080,"42990,
71121",32.1,40.6,73.2,79.1,19.4,15.9,45.1,54.9,78.4,21.6,90.2,9.8,90.2,9.8,https://www.mcdermott.com/MDRSite/media/DocumentDownloadLibrary/Gender-Pay-Gap-CBI-UK-Limited-April-2018.pdf,Andrew Braddel (HR Director),Less than 250,CB&I UK LIMITED,FALSE
CBRE CORPORATE OUTSOURCING LIMITED,"61 Southwark Street Southwark Street,
London,
England,
SE1 0HL",4406788,68320,35.6,38.5,66.1,68,80.9,75.5,26,74,42.6,57.4,57.4,42.6,76.3,23.7,https://www.cbre.co.uk/-/media/cbre/countryunitedkingdom/documents/gpg/2018-cbre_gws-corporate-outsourcing-report_v10.pdf?la=en,"Steve Moore (Vice President, HR)",500 to 999,CBRE CORPORATE OUTSOURCING LIMITED,FALSE
CBRE GWS LIMITED,"61 Southwark Street,
London,
United Kingdom,
SE1 0HL",661449,81100,13.4,18.3,34.1,-1.9,23.8,21,56.9,43.1,71.1,28.9,79.5,20.5,74.8,25.2,https://www.cbre.co.uk/-/media/cbre/countryunitedkingdom/documents/gpg/2018-cbre_gws-ltd-report_v10.pdf?la=en,"Steve Moore (Vice President, HR)","5000 to 19,999",CBRE GWS LIMITED,FALSE
CBRE LIMITED,"St Martin's Court,
10 Paternoster Row,
London,
United Kingdom,
EC4M 7HP",3536032,"41100,
68310,
68320",34.1,38.9,77.2,74.3,90.5,84.5,38.3,61.7,44.5,55.5,68.9,31.1,81.2,18.8,https://www.cbre.co.uk/about-cbre/our-policies/gender-pay-gap-report,Ciaran Bird (UK Managing Director),1000 to 4999,CBRE LIMITED,FALSE
CBRE MANAGED SERVICES LIMITED,"61 Southwark Street,
London,
England,
SE1 0HL",1799580,82990,23.2,28.6,29.2,7,19.7,17.7,57.2,42.8,79.2,20.8,91.7,8.3,87,13,https://www.cbre.co.uk/-/media/cbre/countryunitedkingdom/documents/gpg/2018-cbre_managed-services-ltd_v10.pdf?la=en,"Steve Moore (Vice President, HR)","5000 to 19,999",CBRE MANAGED SERVICES LIMITED,FALSE
CBRE MANAGEMENT SERVICES LIMITED,"St Martin's Court,
10 Paternoster Row,
London,
United Kingdom,
EC4M 7HP",1415100,68320,25,28.7,22.7,35.1,76,73.1,15.3,84.7,42.9,57.1,56.1,43.9,68.4,31.6,https://www.cbre.co.uk/-/media/cbre/countryunitedkingdom/documents/gpg/2018-cbre_management-services-ltd_v11.pdf?la=en,"Steve Moore (Vice President, HR)",250 to 499,CBRE MANAGEMENT SERVICES LIMITED,FALSE
CCM FACILITIES LTD,"Trident House Lower Ground Floor, 46 - 48 Webber Street,
London,
SE1 8QW",2498745,81210,0.9,1.4,11.8,17.6,0.9,2.5,49.2,50.8,26,74,56.8,43.2,54.6,45.4,,Suzanne Scott (Finance Director),500 to 999,CCM FACILITIES LTD,FALSE
CDC GROUP PLC,"123 Victoria Street,
London,
SW1E 6DE",3877777,64303,30,28,25,30,11,6,22,78,46,54,52,48,75,25,https://assets.cdcgroup.com/wp-content/uploads/2019/04/04155117/CDC-Gender-Pay-Gap-Report-2019.pdf,Nick O'Donohoe (Chief Executive Officer),250 to 499,CDC GROUP PLC,FALSE
CDW LIMITED,"10 Fleet Place,
London,
United Kingdom,
EC4M 7RB",2465350,63990,34.2,11.1,53.8,-56,91.6,89.8,70.5,29.5,71.1,28.9,71.6,28.4,85.2,14.8,https://www.uk.cdw.com/site-tools/pay-gap-report/,Dan Laws (Managing Director CDW UK & VP International),1000 to 4999,CDW LIMITED,FALSE
CEGA GROUP SERVICES LIMITED,"The Minster Building,
21 Mincing Lane,
London,
England,
EC3R 7AG",1303318,86900,7,1,41,11,39,61,41,59,38,62,36,64,47,53,,Alistair Hardie (Chief Executive),250 to 499,CEGA GROUP SERVICES LIMITED,FALSE
Centaur Media PLC,"Wells Point,
79 Wells Street,
London,
United Kingdom,
W1T 3QN",4948078,70100,9.1,14.8,25,31.7,72.9,67.9,47.6,52.4,47.4,52.6,53.5,46.5,56.4,43.6,,Andria Vidler (CEO),500 to 999,Centaur Media PLC,FALSE
Central & North West London N H S,"350 Euston Road,
London,
London,
NW1 3AX",,"1,
86210",11.4,10.4,45,50,49.1,50.9,21.4,78.6,21.1,78.9,22.1,77.9,32.5,67.5,https://www.cnwl.nhs.uk/wp-content/uploads/2019/04/Gender_Pay_Gap_Report_March_2019.pdf,,"5000 to 19,999",Central & North West London N H S,TRUE
CENTRAL AND CECIL HOUSING TRUST,"266 Waterloo Road,
London,
SE1 8RQ",IP27693R,,29.4,30.3,0,0,0,0,13,87,11.7,88.3,15.5,84.5,33.6,66.4,https://www.ccht.org.uk/download.cfm?ver=7099,Julia Ashley (Chief Executive),250 to 499,CENTRAL AND CECIL HOUSING TRUST,FALSE
Central London Community Healthcare Nhs Trust,"Ground Floor,
15 Marylebone Road,
London,
NW1 5JD",,"1,
86210",11.5,1.7,-9.1,0,17.4,18.8,16,84,10,90,12,88,19,81,https://www.clch.nhs.uk/application/files/6415/5387/5381/Gender_pay_report_final_version.pdf,,1000 to 4999,Central London Community Healthcare Nhs Trust,FALSE
CENTRAL YMCA TRADING LIMITED,"112 Great Russell Street,
London,
WC1B 3NQ",3667206,93130,-6,13,57,50,4.4,1.6,37.5,62.5,48.7,51.3,32.1,67.9,40.2,59.8,https://ymca-central-assets.s3-eu-west-1.amazonaws.com/s3fs-public/CYMCA%20Gender%20Pay%20Gap%20and%20Supporting%20Statement%202017-18.pdf,Rosi Prescott (CEO),250 to 499,CENTRAL YMCA TRADING LIMITED,FALSE
Centrepoint Soho,"Central House,
25 Camperdown Street,
London,
United Kingdom,
E1 8DZ",1929421,"85590,
87900",8.9,4.4,7.3,-33.3,46,44,36,64,30,70,30,70,44,56,https://centrepoint.org.uk/about-us/our-finances/,Seyi Obakin (CEO),250 to 499,Centrepoint Soho,FALSE
CENTURYCOMM LIMITED,"5 Fleet Place,
London,
United Kingdom,
EC4M 7RD",3387163,"18203,
58130,
62090",4.5,17.2,-84.1,16.6,92,88,85,15,91,9,94,6,93,7,,Tom Kaye (Finance Manager),250 to 499,CENTURYCOMM LIMITED,TRUE
CENTURYLINK COMMUNICATIONS UK LIMITED,"7th Floor 10 Fleet Place,
London,
United Kingdom,
EC4M 7RB",2495998,61900,23.7,21.4,42.9,38.6,90,94,57.5,42.5,68.5,31.5,79.8,20.2,85.8,14.2,http://info.centurylinkforbusiness.com/rs/131-SYO-861/images/GenderGap2018%20infographic.pdf,Richard Warley (Regional President EMEA),1000 to 4999,CENTURYLINK COMMUNICATIONS UK LIMITED,FALSE
CEPAC LIMITED,"Prince Albert House,
2 Kingsmill Terrace,
London,
United Kingdom,
NW8 6BN",3373762,17219,22.4,19.6,29.5,45,65.8,41.8,72.7,27.3,86.4,13.6,93.6,6.4,90.8,9.2,,Martin Costa (Financial Director),500 to 999,CEPAC LIMITED,FALSE
CERNER LIMITED,"The Point, 37 North Wharf Road,
Paddington,
London,
United Kingdom,
W2 1AF",2519305,62090,9.2,8.5,70.4,49.1,18.5,16.1,58.6,41.4,65.5,34.5,67.8,32.2,69,31,https://www.cerner.com/gb/en/pages/cerner-uk-gender-pay-gap-report,"Distie Profit (Senior Director & Country General Manager, United Kingdom)",500 to 999,CERNER LIMITED,FALSE
CFC UNDERWRITING LIMITED,"Second Floor, 85 Gracechurch Street,
London,
EC3V 0AA",3302887,65120,17.3,10.4,59.9,16.7,82,75,57,43,58,42,63,37,73,27,https://www.cfcunderwriting.com/gender-pay-gap-report/,Peter Samuel (HR Director),250 to 499,CFC UNDERWRITING LIMITED,FALSE
CGI IT UK LIMITED,"20 Fenchurch Street,
14th Floor,
London,
United Kingdom,
EC3M 3BY",947968,62020,11.9,14.2,57,17.6,67,63,72.7,27.3,75.1,24.9,80.7,19.3,85,15,https://www.cgi-group.co.uk/uk-gender-pay-gap-report-2018,"Tara McGeehan (President, CGI UK)","5000 to 19,999",CGI IT UK LIMITED,FALSE
CGN RESTAURANTS LIMITED,"THE ACCOUNTING CENTRE, FIRST FLOOR,
736 High Road,
North Finchley,
London,
England,
N12 9QD",7469872,47290,3.9,0.5,14.6,10.1,12.4,10.4,48.5,51.5,48.8,51.2,45.9,54.1,54.4,45.6,,Craig Newnes (Director),500 to 999,CGN RESTAURANTS LIMITED,FALSE
Ch2M Hill United Kingdom,"Cottons Centre,
Cottons Lane,
London,
United Kingdom,
SE1 2QG",2533469,71129,30,29.2,44.1,29.7,74.9,49.4,52.2,47.8,69,31,74.3,25.7,92.9,7.1,https://www.jacobs.com/sites/default/files/2019-06/jacobs-gender-pay-gap-report-2018.pdf,Arnaud Cordebar (Head of Reward EMEA),250 to 499,Ch2M Hill United Kingdom,FALSE
CHAMBERLAINE CLEANING SERVICES LIMITED,"Northside House, Mount Pleasant,
Barnet,
Hertfordshire,
EN4 9EE",3491498,96090,9,10,-30,0,21,9,26,74,39,61,48,52,45,55,https://www.chamberlaine.co.uk,Nicholas Godsave (Finance Director),250 to 499,CHAMBERLAINE CLEANING SERVICES LIMITED,FALSE
CHAMPNEYS HENLOW LIMITED,"Palladium House,
1/4 Argyll Street,
London,
England,
W1F 7LD",1297142,55100,26,-6.1,58.7,-131.4,40,68.4,28.9,71.1,24.4,75.6,13.3,86.7,29.5,70.5,https://www.champneys.com/gender-pay-gap-report/,Gemma Beeson (Head of HR),250 to 499,CHAMPNEYS HENLOW LIMITED,FALSE
CHANEL LIMITED,"5 Barlow Place,
London,
United Kingdom,
W1J 6DG",203669,"46420,
46450,
46480,
47710",27.7,13.4,47.5,15.6,94,97.6,6.9,93.1,8.4,91.6,17.2,82.8,19.2,80.8,https://services.chanel.com/i18n/en_GB/pdf/gender_pay_gap_2018.pdf,Olivier Nicolay (Managing Director),1000 to 4999,CHANEL LIMITED,FALSE
CHANNEL 5 BROADCASTING LIMITED,"Fieldfisher Llp Riverbank House, 2 Swan Lane,
London,
United Kingdom,
EC4R 3TT",3147640,59113,14.6,12.7,38.5,-22.1,23.1,19.5,44,56,53,47,55,45,65,35,,"Di Maxfield-Twine (SVP, HR & Operations UKNEE)",250 to 499,CHANNEL 5 BROADCASTING LIMITED,FALSE
Channel Four Television Corporation,"124 Horseferry Road,
London,
SW1P 2TX",,"1,
60200",22.6,23.3,39.5,24,88.5,88.6,35.9,64.1,35,65,52.1,47.9,55.1,44.9,https://www.channel4.com/corporate/performance/reporting/reporting-library,,500 to 999,Channel Four Television Corporation,FALSE
Charles Darwin Academy Trust,"Charles Darwin School Jail Lane,
Biggin Hill,
Westerham,
Kent,
United Kingdom,
TN16 3AU",7554396,"1,
85310",23.1,48.2,NA,NA,0,0,16.1,83.9,20.4,79.6,35.2,64.8,35.8,64.2,https://www.cdarwin.com,,Less than 250,Charles Darwin Academy Trust,FALSE
CHARLES RUSSELL SPEECHLYS SERVICES LIMITED,"5 Fleet Place,
London,
United Kingdom,
EC4M 7RD",5681164,96090,17.3,30.7,41.5,31.3,45,42.5,18.9,81.1,27.2,72.8,36.7,63.3,40,60,https://www.charlesrussellspeechlys.com/globalassets/pdfs/careers/2019/gender-pay-gap-2019.pdf,James Carter (Managing Partner),500 to 999,CHARLES RUSSELL SPEECHLYS SERVICES LIMITED,FALSE
CHARLES STANLEY & CO. LIMITED,"55 Bishopsgate,
London,
United Kingdom,
EC2N 3AS",1903304,64999,37.4,33.8,73.5,37.5,78.6,82.1,32.6,67.4,47.9,52.1,68.4,31.6,81.8,18.2,,Paul Abberley (CEO),500 to 999,CHARLES STANLEY & CO. LIMITED,FALSE
Charles Taylor PLC,"The Minster Building,
21 Mincing Lane,
London,
England,
EC3R 7AG",3194476,70100,43.6,40.6,73.9,57,66.4,65.1,40.9,59.1,47.7,52.3,71.5,28.5,85.5,14.5,,Suzanne Deery (Group HR Director),500 to 999,Charles Taylor PLC,FALSE
CHARLES TYRWHITT SHIRTS LIMITED,"First Floor Cottons Centre,
Cottons Lane,
London,
United Kingdom,
SE1 2QG",2914928,47710,9.3,-4.3,36.3,-16.1,81.8,81.1,55.8,44.2,44.7,55.3,36.5,63.5,48.6,51.4,https://www.ctshirts.com/on/demandware.static/-/Library-Sites-CTShirtsSharedLibrary/default/dw6f887a42/images/GenderPayReport-2017-2018.pdf,Chris McManus (Chief People Officer),500 to 999,CHARLES TYRWHITT SHIRTS LIMITED,FALSE
CHARLOTTE TILBURY BEAUTY LIMITED,"50 Brook Green,
Hammersmith,
London,
England,
W6 7BJ",8037372,47750,5.6,4.7,-8.3,26.7,50.7,69.3,4.3,95.7,7,93,8.5,91.5,7,93,,Naomi Hewitt (Interim Chief People Officer),500 to 999,CHARLOTTE TILBURY BEAUTY LIMITED,TRUE
CHARLTON ATHLETIC FOOTBALL COMPANY LIMITED,"The Valley, Floyd Road,
London,
SE7 8BL",1788466,93199,51.7,11.6,90.9,52.1,30.7,14.9,94.4,5.6,82.9,17.1,83.3,16.7,97.1,2.9,https://www.cafc.co.uk/,Richard Murray (Non-Executive Chairman),250 to 499,CHARLTON ATHLETIC FOOTBALL COMPANY LIMITED,FALSE
CHARTERED INSTITUTE OF PUBLIC FINANCE AND ACCOUNTANCY (THE),"77 Mansell Street,
London,
E1 8AN",RC000101,,23.5,14.9,50.9,88.7,5.2,2.9,41,59,38,62,50,50,62,38,https://www.cipfa.org/~/media/files/aboutus/gender-pay-gap-report-2018.pdf?la=en,Rob Whiteman (Chief Executive),Less than 250,CHARTERED INSTITUTE OF PUBLIC FINANCE AND ACCOUNTANCY (THE),FALSE
Chase De Vere Ifa Group PLC,"60 New Broad Street,
London,
United Kingdom,
EC2M 1JJ",3323436,64999,33,34.2,38,85,55.1,44.1,38.2,61.8,58.2,41.8,68.7,31.3,80.8,19.2,https://chasedevere.co.uk/gender-pay-gap-report/,Alyson Price (HR Director),500 to 999,Chase De Vere Ifa Group PLC,FALSE
CHAUCER SYNDICATES LIMITED,"Plantation Place,
30 Fenchurch Street,
London,
United Kingdom,
EC3M 3AD",184915,"65120,
65202",36.6,32.5,71.9,42.3,84,80,51,49,62,38,70,30,84,16,https://www.chaucerplc.com/who-we-are/careers/diversity-inclusion/,John Fowle (CEO),250 to 499,CHAUCER SYNDICATES LIMITED,FALSE
CHC SCOTIA LIMITED,"C/O Cms Cameron Mckenna Llp,
78 Cannon Street,
London,
United Kingdom,
EC4N 6AF",936569,51102,34.7,44.8,44.2,-10.8,12.6,4,57.1,42.9,90,10,89.9,10.1,92.8,7.2,,Lesley Sim (Senior Human Resources Manager),250 to 499,CHC SCOTIA LIMITED,FALSE
CHEADLE ROYAL HEALTHCARE LIMITED,"Fifth Floor,
80 Hammersmith Road,
London,
United Kingdom,
W14 8UD",3254624,86101,28.6,1.3,-35,0,9.2,15.6,25.7,74.3,25.7,74.3,27.8,72.2,40.1,59.9,https://www.priorygroup.com/gender-pay-gap-report,Trevor Torrington (CEO),500 to 999,CHEADLE ROYAL HEALTHCARE LIMITED,FALSE
Cheam Academies Network,"Cheam High School,
Chatsworth Road,
Cheam,
Surrey,
United Kingdom,
SM3 8PW",7588097,"1,
85310",12.9,16.6,NA,NA,0,0,11,89,19,81,33,67,23,77,https://www.canschools.co.uk/859/trust-information,,250 to 499,Cheam Academies Network,FALSE
Chelsea & Westminster Healthcare N H S Trust,"Chelsea & Westminster Hospital,
369 Fulham Road,
London,
London,
United Kingdom,
SW10 9NH",,"1,
86210",18.6,12.1,3.1,24.9,1.7,1.3,54.1,45.9,52,48,52,48,66.7,33.3,,,"5000 to 19,999",Chelsea & Westminster Healthcare N H S Trust,FALSE
CHELSEA FC FOUNDATION,"Stamford Bridge, Fulham Road,
London,
Greater London,
SW6 1HS",6858117,93120,-40.4,-35.8,100,100,1.3,0,98.5,1.5,92.4,7.6,90.9,9.1,72.7,27.3,,Sara Matthews (Director of HR),250 to 499,CHELSEA FC FOUNDATION,FALSE
CHELSEA FOOTBALL CLUB LIMITED,"Stamford Bridge Ground,
Fulham Road,
London,
United Kingdom,
SW6 1HS",1965149,93120,86.1,8,92.2,-25,64.3,60.6,79.2,20.8,84.4,15.6,80.5,19.5,89.9,10.1,https://prod-content-cdn.chelseafc.com/content/dam/documents/Misc/2019/Gender%20Pay%20Reporting%202018%20CFC%20Limited.pdf,Sara Matthews (Director of HR),1000 to 4999,CHELSEA FOOTBALL CLUB LIMITED,FALSE
CHEQUERS CONTRACT SERVICES LIMITED,"Unit 12 Tait Road Industrial Estate,
Tait Road,
Croydon,
Surrey,
United Kingdom,
CR0 2DP",5134135,"81100,
81210,
81221,
81229",3.8,5.3,0,0,0,0.4,49.7,50.3,52.1,47.9,74.3,25.7,55.9,44.1,http://chequerscontracts.co.uk/,Rosaleen Liard (CEO),500 to 999,CHEQUERS CONTRACT SERVICES LIMITED,FALSE
Cherry Lewis Taylor,"First Floor, 736 High Road,
The Accounting Centre Ltd.,
North Finchley. LONDON,
N12 9QD",,56101,1.3,-8.3,36.5,-7.2,12.1,15,64.5,35.5,55.9,44.1,43,57,50.5,49.5,,Cherry Lewis Taylor (Owner),250 to 499,Cherry Lewis Taylor,FALSE
CHESTERTON GLOBAL LIMITED,"40 Connaught Street,
Hyde Park,
London,
England,
W2 2AB",5334580,68310,20,6,61,78,49,51,52.5,47.5,37.6,62.4,39.6,60.4,60,40,,Neal Verman (HR Director),250 to 499,CHESTERTON GLOBAL LIMITED,TRUE
CHEVAL RESIDENCES LIMITED,"Tower Bridge House, St Katharine's Way,
London,
E1W 1DD",3291389,68201,-4.7,-2.8,-15.4,-3.2,90,93,64,36,48,52,62,38,45,55,,George Westwell (Director),Less than 250,CHEVAL RESIDENCES LIMITED,FALSE
CHEVRON ENERGY LIMITED,"1 Westferry Circus,
Canary Wharf,
London,
United Kingdom,
E14 4HA",5300877,82990,25.7,29.1,33.1,39.4,99,98.7,57.5,42.5,76.7,23.3,78.7,21.3,89.3,10.7,https://unitedkingdom.chevron.com/-/media/united-kingdom/about/documents/chevron-energy-limited-2018-gender-pay-gap-report.pdf,Stewart Wright (Chairman - Chevron Energy Limited),1000 to 4999,CHEVRON ENERGY LIMITED,FALSE
CHILTERN STREET HOTEL LIMITED,"MANHATTAN LOFT CORPORATION,
Edison House,
223 -231 Old Marylebone Road,
London,
United Kingdom,
NW1 5QT",7218870,55100,-0.2,-2.2,NA,NA,0,0,67,33,79,21,55.6,44.4,63,37,,Kamlesh Bathia (Finance Director),250 to 499,CHILTERN STREET HOTEL LIMITED,FALSE
Chingford Academies Trust,"Chingford Foundation School 31 Nevin Drive,
Chingford,
London,
United Kingdom,
E4 7LT",8179498,"1,
85310",22,28.4,NA,NA,0,0,11.8,88.2,31.3,68.7,33.8,66.2,42.6,57.4,https://www.chingfordfoundation.org/,,250 to 499,Chingford Academies Trust,FALSE
CHIRON COMMUNICATIONS LIMITED,"Wells Point,
79 Wells Street,
London,
United Kingdom,
W1T 3QN",1081808,58142,17.1,14.8,19,52.7,59.7,57.7,41.1,58.9,37.7,62.3,49.1,50.9,60.7,39.3,,Andria Vidler (CE0),250 to 499,CHIRON COMMUNICATIONS LIMITED,FALSE
Choice Support,"100 Westminster Bridge Road,
London,
United Kingdom,
SE1 7XA",2189556,87200,-1.6,1.5,NA,NA,0,0,24,76,24,76,25,75,25,75,,Mark Ferry (Director of Human Resources),1000 to 4999,Choice Support,FALSE
CHRISTIAN AID,"Inter-Church House,
35-41 Lower Marsh,
London,
United Kingdom,
SE1 7RL",5171525,74990,6.8,6.1,NA,NA,0,0,32.7,67.3,28.9,71.1,39.8,60.2,44.7,55.3,,Amanda Khozi Mukwashi (CEO),250 to 499,CHRISTIAN AID,FALSE
CHRISTIAN DIOR UK LIMITED,"49a Pavilion Road,
London,
SW1X 0HD",2809988,"47510,
47710",16.8,-1.2,74.1,-11.3,33,67,29,71,30,70,25,75,28,72,https://www.dior.com/en_gb/legal-terms,Samantha Brunton (UK HR Director),250 to 499,CHRISTIAN DIOR UK LIMITED,FALSE
CHRISTIE MANSON & WOODS LIMITED,"8 King Street,
St. James's,
London,
United Kingdom,
SW1Y 6QT",1128160,"64209,
70100,
82990",45.9,24.9,68.2,42.3,86,80,37,63,28,72,37,63,56,44,https://www.christies.com/about-us/careers#about_Nav,Stephen Brooks (Deputy CEO),500 to 999,CHRISTIE MANSON & WOODS LIMITED,FALSE
CHRYSAOR E&P SERVICES  LIMITED,"Brettenham House, Lancaster Place,
London,
United Kingdom,
WC2E 7EN",10873483,"6100,
6200",31.9,34.9,30.4,-34.3,96.2,93.3,50,50,85,15,96,4,89,11,https://www.chrysaor.com/downloads/CHR-16377%209%20Gender%20report%20-%20full_V9.pdf,Corinne Kelt (HR Director),250 to 499,CHRYSAOR E&P SERVICES  LIMITED,FALSE
